,FTE,Facility_or_Department,Function,Function_Description,Fund_Description,Job_Title_Description,Location_Description,Object_Description,Object_Type,Operating_Status,Position_Extra,Position_Type,Pre_K,Program_Description,Reporting,Sharing,Student_Type,SubFund_Description,Sub_Object_Description,Text_1,Text_2,Text_3,Text_4,Total,Use
740,nan,nan,'NO_LABEL','ARRA EDUCATION STABILITAZION',nan,'ITEMGB Misc/TA ','OPPORTUNITY SCHOOL','EMPLOYEE BENEFITS','NO_LABEL',"'Operating, Not PreK-12'",'OFFICE/ADMINISTRATIVE SUPPORT','NO_LABEL','NO_LABEL','ITEMGB - INSTRUCTIONAL PROGRAM','NO_LABEL','NO_LABEL','NO_LABEL','ARRA - STIMULUS',nan,'INSTRUCTIONAL SUPPORT','ADULT VOC ED OPPORTUNITY','Alternative',nan,664.31,'NO_LABEL'
741,0.025,nan,'Enrichment',nan,nan,'Aide (Afterschool)','OFC COM & ED PROG-AFTER SCHOOL AIDES',nan,'Base Salary/Compensation','PreK-12 Operating',nan,'TA','NO_LABEL',nan,'Non-School','School on Central Budgets','Unspecified',"'SUMMER ED, ARTS & SPORTS - SEAS'",nan,nan,'AFTERSCHOOL PROGRAMS',nan,nan,961.5901402,'Pupil Services & Enrichment'
742,0.25,nan,'Facilities & Maintenance','OPERATION OF PLANT            ','GENERAL FUND                  ','CUSTODIAN                     ','School ','OTHER SUPPORT PERSONNEL       ','Base Salary/Compensation','PreK-12 Operating',nan,'Custodian','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,nan,nan,nan,nan,9227.597772,'O&M'
743,nan,nan,'Professional Development','INNOVATION FUND',nan,"'Facilitator,Sec Humanities '",nan,'ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Instructional Coach','NO_LABEL','GENERAL HIGH SCHOOL EDUCATION','School','School Reported','Unspecified',' MILL LEVY',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,510.01992,'ISPD'
744,nan,nan,'Professional Development','NON-PROJECT',nan,"'Teacher, Elementary '",nan,'ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Teacher','NO_LABEL','INSTRUCTIONAL STAFF TRAINING','School','School Reported','Unspecified','GENERAL FUND',nan,'INSTRUCTIONAL STAFF',nan,'Regular',nan,24.84256,'ISPD'
745,0.501369787,nan,'Teacher Compensation','SPECIAL ED. - SEVERE NEEDS',nan,"'Teacher, Itinerant '",'SPECIAL EDUCATION','SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Teacher','NO_LABEL',"'SPECIAL ED-M/M HIGH SEC, VOC'",'Non-School','School on Central Budgets','Special Education','GENERAL FUND',nan,'SPECIAL EDUCATION','SEVERE DISABILITIES','n/a',nan,38259.42997,'Instruction'
746,nan,nan,'Curriculum Development','HEAD START',nan,"'Teacher,Retrd Shrt Term Sub '",'EARLY CHILDHOOD EDUCATION','EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Substitute','PreK','EARLY CHILDHOOD','Non-School','Shared Services','PreK','FEDERAL GDPG FUND - FY ',nan,'REGULAR INSTRUCTION','EARLY EDUCATION','n/a',nan,4.3,'ISPD'
747,nan,nan,'Enrichment',nan,nan,'EXT DAY',nan,'Extracurricular Supp','Other Compensation/Stipend','PreK-12 Operating',nan,'Club Advisor/Coach','NO_LABEL',nan,'School','School Reported','NO_LABEL',nan,nan,nan,nan,nan,nan,3914.820916,'NO_LABEL'
748,0,'TIME CARD','Physical Health & Services',nan,'General Purpose School',nan,'District Wide Resources','Personal Services - Health Services','Base Salary/Compensation','PreK-12 Operating','TIME CARD CERTIFIED','Other','Non PreK',"""Principal's Office""",'Non-School','School on Central Budgets','Special Education',nan,nan,nan,nan,nan,'Special Education Support',188.1699,'Pupil Services & Enrichment'
749,nan,nan,'Legal','NON-PROJECT',nan,'(blank)','SCHOOL ATTORNEY','LEGAL SERVICES','Contracted Services','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','LEGAL SERVICES','Non-School','Leadership & Management','Unspecified','GENERAL FUND',nan,'GENERAL ADMINISTRATION','LEGAL SERVICES','n/a',nan,130168.72,'Business Services'
750,nan,nan,'School Supervision','INSTRUCTION RELATED TECHNOLOGY','GENERAL FUND                  ',nan,'CHIEF OF ADMINISTRATION       ','SOFTWARE SUBSCRIPTIONS        ','Supplies/Materials','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',nan,'Non-School','Leadership & Management','Unspecified',nan,nan,'COMPUTER MAINT CONTRACT       ',nan,nan,nan,3536.71,'Leadership'
751,nan,nan,'Enrichment','Extracurricular Activities','Campus Activity Funds',nan,'School ','General Supplies','Supplies/Materials','PreK-12 Operating',nan,'NO_LABEL','Non PreK','Undistributed','School','School Reported','Unspecified',nan,'General Supplies',nan,nan,nan,nan,999.98,'Pupil Services & Enrichment'
752,1,'Security Department','Security & Safety','Security And Monitoring Services','General Operating Fund','SECURITY OFFICER','Undistributed','Salaries Or Wages For Support Personnel','Base Salary/Compensation','PreK-12 Operating','POLICE PATROL MAN','School Monitor/Security','Non PreK','Undistributed','Non-School','School on Central Budgets','Unspecified','Operations','Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,nan,41311.7085,'O&M'
753,1,nan,'Physical Health & Services',nan,'General Fund','Clinic Assistant',nan,nan,'NO_LABEL','PreK-12 Operating','CLINIC ASSISTANT ','Nurse Aide','NO_LABEL','NURSES','School','School Reported','NO_LABEL',nan,nan,nan,nan,nan,nan,31314.51,'NO_LABEL'
754,nan,nan,'Human Resources','SUPPORT SERVICES-CENTRAL','General Fund',nan,'ADMIN. SERVICES','TRAVEL - EMPLOYEES','Travel & Conferences','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','Misc','Non-School','Leadership & Management','NO_LABEL','MISCELLANEOUS',nan,nan,nan,nan,nan,-219.8,'NO_LABEL'
755,nan,nan,'Facilities & Maintenance','NON-PROJECT',nan,'Custodian-Part Time ',nan,'CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','Custodian','NO_LABEL','EMPLOYEE BENEFITS','School','School Reported','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-36.5,'O&M'
756,1,nan,'Facilities & Maintenance',nan,nan,'CUSTODIAN',nan,nan,'Base Salary/Compensation','PreK-12 Operating',nan,'Custodian','NO_LABEL',nan,'School','School Reported','Unspecified','LOCAL',nan,nan,'CUSTODIAL SERVICES',nan,nan,39006.24958,'O&M'
757,nan,'Finance Department','Legal','General Administration','General Operating Fund',nan,'Administration - No Description Provided','Legal Services','Other Non-Compensation','PreK-12 Operating',nan,'NO_LABEL','Non PreK','Undistributed','Non-School','Leadership & Management','Unspecified',nan,'Legal Services',nan,nan,nan,nan,8656.65,'Business Services'
758,0.429999628,nan,'Teacher Compensation','VOCATIONAL (K-12)             ','GENERAL FUND                  ',"'TEACHER, BUSINESS TECH ED     '",'School ','CLASSROOM TEACHER             ','Base Salary/Compensation','PreK-12 Operating',nan,'Teacher','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,nan,nan,nan,nan,22891.38101,'Instruction'
759,nan,nan,'Other Non-Compensation','BASIC (FEFP K-12)             ','GENERAL FUND                  ',nan,'School ','DUES AND FEES                 ','Other Non-Compensation','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,'BAND                          ',nan,nan,nan,212.66,'Instruction'
760,nan,'Athletic Department','Enrichment','Extracurricular Activities','General Operating Fund',"'TRANSPORTATION,BUS DR. SPEC.ED'",'Unallocated','Extra Duty Pay/Overtime For Support Personnel','Other Compensation/Stipend','PreK-12 Operating','ATHLETIC OPTIONAL PAY','Other','Non PreK','Athletics And Related Activities','Non-School','Shared Services','Unspecified','Operations','Extra Duty Pay/Overtime For Support Personnel','GAME WORK',nan,nan,'Game Workers',1095.52,'Pupil Services & Enrichment'
761,0.98,'Security Department','Security & Safety','Security And Monitoring Services','General Operating Fund','SECURITY OFFICER','Undistributed','Salaries Or Wages For Support Personnel','Base Salary/Compensation','PreK-12 Operating','POLICE PATROL MAN','School Monitor/Security','Non PreK','Undistributed','Non-School','School on Central Budgets','Unspecified','Operations','Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,nan,40146.31489,'O&M'
762,nan,nan,'Governance','PEPSI GRANT',nan,'(blank)','SUPERINTENDENT OF SCHOOLS','MISCELLANEOUS EXPENDITURES','Other Non-Compensation','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','OFFICE OF THE SUPERINTENDENT','Non-School','Leadership & Management','Unspecified','DISTRICT SPECIAL REVENUE FUNDS',nan,'GENERAL ADMINISTRATION','OFFICE OF THE SUPERINTENDENT','n/a',nan,15570.26,'Leadership'
763,nan,nan,'NO_LABEL','Instructional Staff Training Services *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Purchased Services','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Support Services - Instructional Staff','Purchased Services','TITLE I SCHOOL IMPROVEMEN',nan,nan,nan,9529.31,'NO_LABEL'
764,nan,nan,'Facilities & Maintenance','NON-PROJECT',nan,'(blank)','DEPARTMENT OF TECHNOLOGY SERVI','MAINT MATERIALS','Other Non-Compensation','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','CARE & UPKEEP OF BLDG SERVICES','Non-School','Shared Services','Unspecified','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','ITEMGG-CIO/CTO','n/a',nan,300.4,'O&M'
765,nan,'Instruction And Curriculum','Library & Media','Instruction','General Operating Fund','AT RISK LITERACY TEACHER (LIBRARIAN)','Summer School','Salaries And Wages For Teachers And Other Professi','Other Compensation/Stipend','PreK-12 Operating','LITERACY SPECIALIST','Librarian','Non PreK',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'Non-School','Shared Services','At Risk','State Ed. Allotment','Extended Year','EXTENDED YEAR',nan,nan,nan,182.0847514,'Instruction'
766,nan,nan,'Untracked Budget Set-Aside','Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Supplies and Materials','Supplies/Materials','PreK-12 Operating',nan,'Non-Position','Non PreK',nan,'Non-School','Shared Services','Unspecified','Support Services - Instructional Staff','Supplies And Materials','NIKE-LET ME PLAY',nan,nan,nan,7383.57,'Untracked Budget Set-Aside'
767,0.47,nan,'Social & Emotional','GUIDANCE SERVICES             ','GENERAL FUND                  ','COUNSELOR-MIDDLE              ','School ','OTHER CERTIFIED               ','Base Salary/Compensation','PreK-12 Operating',nan,'Guidance Counselor','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,nan,nan,nan,nan,30057.12161,'Pupil Services & Enrichment'
768,nan,nan,'Career & Academic Counseling','GUIDANCE SERVICES             ','GENERAL FUND                  ',nan,'School ','RENTALS                       ','Rent/Utilities','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,'SCHOOL OPERATING ACCOUNT      ',nan,nan,nan,625.12,'Pupil Services & Enrichment'
769,nan,nan,'NO_LABEL','Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Purchased Services','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Support Services - Instructional Staff','Purchased Services','FOUNDATION',nan,nan,nan,3353.14,'NO_LABEL'
770,nan,nan,'NO_LABEL','Other Special *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Purchased Services','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Special Instruction','Purchased Services','TITLE I ',nan,nan,nan,1600.38,'NO_LABEL'
771,nan,nan,'Untracked Budget Set-Aside','EXCEPTIONAL                   ','GENERAL FUND                  ',nan,'ESE                           ','CONSULTANT                    ','Contracted Services','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',nan,'Non-School','School on Central Budgets','Special Education',nan,nan,'SAI-EBD CONTRACT              ',nan,nan,nan,610244.27,'Untracked Budget Set-Aside'
772,0,nan,'Other Compensation','BASIC (FEFP K-12)             ','GENERAL FUND                  ','CLERICAL/TCHR ASST SUB        ','School ','OTHER PERSONAL SERVICES       ','Other Compensation/Stipend','PreK-12 Operating',nan,'Other','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,nan,nan,nan,nan,93.75,'Instruction'
773,nan,'All Campus Payroll','Professional Development','Instruction','General Operating Fund','SKILLS SPECIALIST','School ','Salaries And Wages For Teachers And Other Professi','Other Compensation/Stipend','PreK-12 Operating','TEACHER MASTER','Teacher','Non PreK',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'School','School Reported','At Risk','State Ed. Allotment','Critical Needs Incentive','CRITICAL NEEDS SUPPLEMENT',nan,nan,nan,1565.379891,'ISPD'
774,nan,nan,'Professional Development','IMPROVEMENT OF INSTR SERV','Vocational Education-Federal Funded',nan,nan,'PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE','Equipment & Equipment Lease','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','Vocational  Grant-Program Improvement.','School','School Reported','NO_LABEL','PROGRAM IMPROVEMENT INSTR',nan,nan,nan,nan,nan,-47.18,'NO_LABEL'
775,nan,nan,'Instructional Materials & Supplies','SCHOOL LIBRARY MATERIALS',nan,'(blank)',nan,'BOOKS AND PERIODICALS','Supplies/Materials','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','GENERAL MIDDLE/JUNIOR HIGH SCH','School','School Reported','Unspecified','LEVY OVERRIDE',nan,'REGULAR INSTRUCTION','EDUCATIONAL RESOURCE SERVICES','Regular',nan,4613.23,'Instruction'
776,nan,'Campus Overtime','Untracked Budget Set-Aside','Instruction','General Operating Fund',nan,'Undistributed','Group Health And Life Insurance','Benefits','PreK-12 Operating','TEACHER MASTER','Teacher','Non PreK','Basic Educational Services','Non-School','School on Central Budgets','Unspecified','Operations','Group Health And Life Insurance','EMPLOYER MEDICAL FRINGE',nan,nan,'Basic Educational Services - District Objective ',329.79,'Untracked Budget Set-Aside'
777,0.848788463,nan,'School Administration',nan,'School Federal Projects','ADMINISTRATIVE ASSISTANT',nan,'Personal Services - Other Personnel','Base Salary/Compensation','PreK-12 Operating','TEACHER -  DAYS','Sec/Clerk/Other Admin','Non PreK','Support - Regular Instruction','School','School Reported','Poverty',nan,nan,'ESEA TITLE I DISADVANTAGED',nan,nan,'Title I - Other Salaries',58037.67,'Leadership'
778,0.025,nan,'Enrichment',nan,nan,'Teacher (Afterschool)','OFFICE OF COMMUNITY & EDUCATION PROGRAMS',nan,'Base Salary/Compensation','PreK-12 Operating',nan,'Teacher','NO_LABEL',nan,'Non-School','School on Central Budgets','Unspecified',"'SUMMER ED, ARTS & SPORTS - SEAS'",nan,nan,'AFTERSCHOOL PROGRAMS',nan,nan,2244.420616,'Pupil Services & Enrichment'
779,0,nan,'School Administration',nan,'General Purpose School','ASSISTANT PRINCIPAL - SEC',nan,'Personal Services - Assistant Principals','Base Salary/Compensation','PreK-12 Operating','ASST PRINCIPAL','Vice Principal','Non PreK',"""Principal's Office""",'School','School Reported','Unspecified',nan,nan,nan,nan,nan,'Office of Principal',7806.5,'Leadership'
780,0.89,'All Campus Payroll','Teacher Compensation','Instruction','General Operating Fund',"'TEACHER, REGULAR'",'School ','Salaries And Wages For Teachers And Other Professi','Base Salary/Compensation','PreK-12 Operating','TEACHER BACHELOR','Teacher','Non PreK','High School Allotment','School','School Reported','Unspecified','High School Allotment','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,nan,48764.66439,'Instruction'
781,nan,nan,'NO_LABEL','MAINTENANCE AND OPERATING','General Fund',nan,nan,'SUPPLIES','NO_LABEL',"'Operating, Not PreK-12'",nan,'NO_LABEL','NO_LABEL','Misc','NO_LABEL','NO_LABEL','NO_LABEL','MISCELLANEOUS',nan,nan,nan,nan,nan,382.41,'NO_LABEL'
782,nan,nan,'Food Services','NON-PROJECT',nan,'District Buyer II ','FOOD AND NUTRITION SERVICES','SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-OTHER','Other','NO_LABEL','FOOD PREPARATION/SERVING','Non-School','Shared Services','Unspecified','FOOD SERVICE FUND',nan,'FOOD SERVICES OPERATIONS','FOOD SERVICES','n/a',nan,2040.22544,'O&M'
783,nan,nan,'Substitute Compensation','NON-PROJECT',nan,"'Teacher, Librarian Elem '",nan,'TEACHER COVERAGE FOR TEACHER','Substitute Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Librarian','NO_LABEL','GENERAL ELEMENTARY EDUCATION','School','School Reported','Unspecified','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER SUBS','Regular',nan,254.71832,'Instruction'
784,nan,nan,'Security & Safety','NON-PROJECT',nan,'Campus Security Officer ','SAFETY AND SECURITY','SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating','OFFICE/ADMINISTRATIVE SUPPORT','School Monitor/Security','NO_LABEL','SCHOOL SECURITY','Non-School','Leadership & Management','Unspecified','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','SAFETY AND SECURITY','n/a',nan,538.65608,'O&M'
785,0.27,'Child Nutrition','Food Services','Food Services (Child Nutrition Fund Only)','National School Breakfast And Lunch Program',"'CLERICAL, FOOD SERVICE ADMN.'",'Undistributed','Salaries Or Wages For Support Personnel','Base Salary/Compensation','PreK-12 Operating','CO CLERICAL/BOOKKEEPER','Sec/Clerk/Other Admin','Non PreK','Undistributed','Non-School','Shared Services','Unspecified','Child Nutrition','Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,'Undistributed',8235.218769,'O&M'
786,nan,'Research And Evaluation','Research & Accountability',"'""Guidance, Counseling And Evaluation Services""'",'General Operating Fund',"'TEACHER, REGULAR'",'Undistributed','Salaries And Wages For Teachers And Other Professi','Other Compensation/Stipend','PreK-12 Operating','TEACHER BACHELOR','Teacher','Non PreK','Undistributed','Non-School','Leadership & Management','Unspecified','Operations','Extra Duty Wages','EXTENDED YEAR',nan,nan,'Undistributed',260.4846108,'Leadership'
787,1,'Instructional Curriculum','Curriculum Development','Instructional Leadership','General Operating Fund','CURRICULUM & INSTRUCTION DEPT.','Undistributed','Salaries And Wages For Teachers And Other Professi','Base Salary/Compensation','PreK-12 Operating','PROGRAM DIRECTOR','(Exec) Director','Non PreK','Undistributed','Non-School','Leadership & Management','Unspecified','Operations','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,'Undistributed',91476.39975,'ISPD'
788,nan,nan,'Data Processing & Information Services','INSTRUCTION','General Fund',nan,'ADMIN. SERVICES','REPAIR AND MAINTENANCE SERVICES-TECHNOLOGY RELATED','Other Non-Compensation','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','Misc','Non-School','Shared Services','NO_LABEL','MISCELLANEOUS',nan,nan,nan,nan,nan,27249.63,'NO_LABEL'
789,0.167812616,nan,'Social & Emotional','NON-PROJECT',nan,'Psychologist ',nan,'SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Psychologist','NO_LABEL','PSYCHOLOGICAL SERVICES','School','School Reported','Unspecified','GENERAL FUND',nan,'STUDENTS',nan,'Regular',nan,11886.59831,'Pupil Services & Enrichment'
790,nan,nan,'Facilities Planning',"'PLANNING,RES,DEV,& EVAL       '",'GENERAL FUND                  ',nan,'GROWTH                        ','COMMUNICATION                 ','Other Non-Compensation','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',nan,'Non-School','Leadership & Management','Unspecified',nan,nan,'GROWTH                        ',nan,nan,nan,81.68,'Business Services'
791,nan,nan,'Other Non-Compensation','Other Secondary Regular Vocational Education','Vocational Education: Carl D. Perkins Vocational Education Act of ',nan,nan,'Capital Outlay','Equipment & Equipment Lease','PreK-12 Operating',nan,'Non-Position','Non PreK',nan,'Non-School','Leadership & Management','Unspecified','Vocational Instruction','Capital Outlay','PERKINS SECONDARY ',nan,nan,nan,256235.07,'Instruction'
792,nan,nan,'Career & Academic Counseling','NON-PROJECT',nan,"'School Counselor, High Sch '",nan,'SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Guidance Counselor','NO_LABEL','GUIDANCE SERVICES','School','School Reported','Unspecified','GENERAL FUND',nan,'STUDENTS',nan,'Turnaround',nan,7746.54024,'Pupil Services & Enrichment'
793,nan,nan,'Library & Media','NON-PROJECT',nan,'Library Tech I ',nan,'ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Librarian','NO_LABEL','INFORMATION SYSTEMS SERVICES','Non-School','School on Central Budgets','Unspecified','LEVY OVERRIDE',nan,'CENTRAL',nan,'n/a',nan,437.95,'Instruction'
794,nan,nan,'NO_LABEL','Disadvantaged Youth *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Supplemental Textbooks','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Special Instruction','Textbooks *','TITLE  SCHOOLWIDE',nan,nan,nan,-1581.18,'NO_LABEL'
795,nan,nan,'School Administration','INSTRUCTION','General Fund',nan,nan,'COMMUNICATION','Rent/Utilities','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','PRIMARY GRADES PROGRAM ','School','School Reported','NO_LABEL','PRIMARY GRADES PROGRAM ',nan,nan,nan,nan,nan,73.47,'NO_LABEL'
796,nan,nan,'Parent & Community Relations','EMPLOYEE RETIREMENT',nan,'Americorp Hourly ','DISTRICT COMMUNITY RELATIONS','RETIREMENT CONTRIB.','Benefits','PreK-12 Operating','UNDESIGNATED','Other','NO_LABEL','EMPLOYEE BENEFITS','Non-School','Leadership & Management','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,124.5,'Pupil Services & Enrichment'
797,nan,nan,'Instructional Materials & Supplies','Other Improvements Of Instruction Services *','Special Trust',nan,nan,'Classroom Supplies','Supplies/Materials','PreK-12 Operating',nan,'Non-Position','Non PreK',nan,'School','School Reported','Unspecified','Support Services - Instructional Staff','General Supplies *',""" START UP-GENDER SCH'S""",nan,nan,nan,-4136.49,'Instruction'
798,nan,nan,'Other Compensation',nan,'LOCAL FUND',nan,nan,'SUNDAY PAY','Rent/Utilities','PreK-12 Operating','ADDITIONAL GROSS PAY','Non-Position','NO_LABEL','NON-INSTRUCTIONAL SUPPORT SERVICES','School','School Reported','Unspecified','LOCAL',nan,nan,'PUBLIC UTILITIES',nan,nan,14646.42,'Instruction'
799,nan,'All Campus Payroll','Substitute Compensation','Instruction','General Operating Fund','TEACHER SUBSTITUTE POOL','School ','Salaries And Wages For Substitute Professionals','Substitute Compensation','PreK-12 Operating','CERTIFIED SUBSTITUTE','Substitute','Non PreK',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'School','School Reported','At Risk','State Ed. Allotment','Salaries And Wages For Substitute Teachers','REGULAR PAY',nan,nan,nan,99.75465198,'Instruction'
800,nan,nan,'Professional Development','INST STAFF TRAINING SVCS      ','GENERAL FUND                  ',"'TEACHER, MATH-HIGH            '",'STAFF DEV AND INSTR MEDIA     ','WORKSHOP PARTICIPANT          ','Other Compensation/Stipend','PreK-12 Operating',nan,'Teacher','NO_LABEL',nan,'Non-School','Shared Services','Unspecified',nan,nan,'TEACHER TRAINING              ',nan,nan,nan,80.55,'ISPD'
801,nan,nan,'Insurance','School Leadership','General Operating Fund',nan,'School ','Insurance And Bonding Costs','Other Non-Compensation','PreK-12 Operating',nan,'NO_LABEL','Non PreK','Undistributed','School','School Reported','Unspecified',nan,'Insurance And Bonding Costs',nan,nan,nan,'Undistributed',71.49,'Business Services'
802,nan,nan,'Instructional Materials & Supplies','INSTRUCTION','Schoolwide Schools',nan,nan,'PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE','Equipment & Equipment Lease','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','Misc','School','School Reported','NO_LABEL','SCHOOL-WIDE SCHOOL PGMS FOR TITLE GRANTS',nan,nan,nan,nan,nan,184.86,'Instruction'
803,nan,nan,'NO_LABEL','Disadvantaged Youth *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Personal Services - Employees Salaries and Wages','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Special Instruction','Personal Services - Employees Salaries And Wages','TITLE  SCHOOLWIDE',nan,nan,nan,1348.77,'NO_LABEL'
804,1,nan,'School Administration','GUIDANCE SERVICES             ','GENERAL FUND                  ','DATA ENTRY OPERATOR           ','School ','OTHER SUPPORT PERSONNEL       ','Base Salary/Compensation','PreK-12 Operating',nan,'Sec/Clerk/Other Admin','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,nan,nan,nan,nan,32932.94109,'Leadership'
805,0.5,nan,'Facilities & Maintenance',nan,'General Fund','Building Custodian I',nan,nan,'NO_LABEL','PreK-12 Operating','BUILDING CUSTODIAN ','Custodian','NO_LABEL','Misc','School','School Reported','NO_LABEL',nan,nan,nan,nan,nan,nan,18171.255,'NO_LABEL'
806,1,nan,'Physical Health & Services',nan,'General Fund','Clinic Assistant',nan,nan,'NO_LABEL','PreK-12 Operating','CLINIC ASSISTANT ','Nurse Aide','NO_LABEL','NURSES','School','School Reported','NO_LABEL',nan,nan,nan,nan,nan,nan,6592.52,'NO_LABEL'
807,nan,nan,'Insurance','School Leadership','General Operating Fund',nan,'School ','Insurance And Bonding Costs','Other Non-Compensation','PreK-12 Operating',nan,'NO_LABEL','Non PreK','Undistributed','School','School Reported','Unspecified',nan,'Insurance And Bonding Costs',nan,nan,nan,'Undistributed',71.72,'Business Services'
808,nan,nan,'NO_LABEL','Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Supplies and Materials','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Support Services - Instructional Staff','Supplies And Materials','ITEMS-VARIOUS GRANTS',nan,nan,nan,684.82,'NO_LABEL'
809,nan,nan,'NO_LABEL','TITLE I',nan,"'Teacher, Hrly '",'FEDERAL PROG-PRIVATE SCHOOL','EMPLOYEE BENEFITS','NO_LABEL',"'Operating, Not PreK-12'",'PROFESSIONAL-INSTRUCTIONAL','NO_LABEL','NO_LABEL','OTHER GENERAL EDUCATION','NO_LABEL','NO_LABEL','NO_LABEL','FEDERAL GDPG FUND',nan,'OTHER EDUCATION','GRANTS MANAGEMENT',nan,nan,41.66,'NO_LABEL'
810,nan,nan,'Research & Accountability','ELA S - TEACHING SPANISH ONLY',nan,"'Facilitator,Elem '",'ASSESSMENT & RESEARCH','ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Instructional Coach','NO_LABEL','INSTRUCTIONAL STAFF TRAINING','Non-School','Leadership & Management','ELL','GENERAL FUND',nan,'INSTRUCTIONAL STAFF','ASSESSMENT AND RESEARCH','n/a',nan,36.61432,'Leadership'
