,FTE,Facility_or_Department,Function_Description,Fund_Description,Job_Title_Description,Location_Description,Object_Description,Position_Extra,Program_Description,SubFund_Description,Sub_Object_Description,Text_1,Text_2,Text_3,Text_4,Total
769,nan,nan,'Other Improvements Of Instruction Services *','Miscellaneous State Grants',nan,nan,'Supplies and Materials',nan,nan,'Support Services - Instructional Staff','Supplies And Materials','SCHOOL IMPROV INCENTIVES',nan,nan,nan,13720
770,nan,nan,'Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Supplies and Materials',nan,nan,'Support Services - Instructional Staff','Supplies And Materials',"""SAM'S CLUB FOUNDATION""",nan,nan,nan,2500.07
771,nan,nan,'ALL DAY KINDERGARTEN',nan,'(blank)',nan,'OTHER PROFESSIONAL SERVICES','UNDESIGNATED','GENERAL K-8 EDUCATION',' MILL LEVY',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,105.24
772,nan,nan,'READ TO SUCCEED',nan,"'Teacher, Elementary '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','GENERAL ELEMENTARY EDUCATION','DISTRICT SPECIAL REVENUE FUNDS',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,1171.26
773,nan,nan,'FACILITATOR',nan,"'Facilitator,Elem '",nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','LITERACY COACHES','LEVY OVERRIDE',nan,'INSTRUCTIONAL STAFF',nan,'Regular',nan,1096.52
774,nan,'Instruction and Curriculum','Curriculum Development And Instructional Staff Dev','General Operating Fund',"'SKILLS SPECIALIST, ADITIONAL'",'School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR','Undistributed','Operations','Extra Duty Wages','CURRICULUM WRITING',nan,nan,'Undistributed',nan
775,0,nan,'PUPIL TRANSPORTATION SERVICES ','GENERAL FUND                  ',nan,'School ','OTHER PURCHASED SERVICES      ',nan,nan,nan,nan,'LOCAL ALLOC SAI               ',nan,nan,nan,3840.62
776,0,nan,nan,'General Purpose School',nan,'District Wide Resources','Personal Services - Teachers','TIME CARD CERTIFIEDAddl','Instruction - Regular',nan,nan,nan,nan,nan,'Alternative Schools Instruction',819.75
777,nan,nan,'NEW TEACHER RECRUITMENT',nan,"'Teacher, Short Term Sub '",'HUMAN RESOURCES','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','SUPPORT SERVICES-INSTRUCTIONAL','DISTRICT SPECIAL REVENUE FUNDS',nan,'INSTRUCTIONAL STAFF','HUMAN RESOURCES RECRUITMENT','n/a',nan,38.73672
778,nan,nan,'NON-PROJECT',nan,"'Supervisor, Area '",'COMMUNITY EDUCATION','CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-900.4
779,nan,'Transportation Department','Transportation','General Operating Fund','TEMPORARY BUS DRIVERS','Unallocated','Extra Duty Pay/Overtime For Support Personnel','BUS DRIVER','Undistributed','Operations','Extra Duty Pay/Overtime For Support Personnel','EXTRA RUN',nan,nan,'transportation - Second Runs',659.18
780,nan,'Instruction And Curriculum',"'""Guidance, Counseling And Evaluation Services""'",'Idea Part B Formula','SPECIAL ED SPEECH THERAPIST','Summer School','Salaries And Wages For Teachers And Other Professi','SPEECH THERAPIST','Services To Students With Disabilities (Special Education)','Idea Part B Formula','Extra Duty Wages','EXTENDED YEAR',nan,nan,'Extra Duty Salary',1033.0192
781,nan,nan,'NEW TEACHER RECRUITMENT',nan,"'Teacher, Short Term Sub '",'HUMAN RESOURCES','EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','SUPPORT SERVICES-INSTRUCTIONAL','DISTRICT SPECIAL REVENUE FUNDS',nan,'INSTRUCTIONAL STAFF','HUMAN RESOURCES RECRUITMENT','n/a',nan,0.11
782,nan,'Instruction And Curriculum','School Leadership','Idea Part B Formula','SCHOOL PRINCIPAL','School ','Salaries And Wages For Teachers And Other Professi','ASST PRIN MIDDLE SCHOOL','Services To Students With Disabilities (Special Education)','Idea Part B Formula','Extra Duty Wages','EXTENDED DAYS',nan,nan,nan,292.2733231
783,nan,nan,'NON-PROJECT',nan,'Human Resources Generalist ','HUMAN RESOURCES','SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-OTHER','STAFF SERVICES','GENERAL FUND',nan,'CENTRAL','PERSONNEL SERVICES','n/a',nan,3016.40744
784,nan,nan,'Direction Of Support Services - Pupils *','Special Trust',nan,nan,'Purchased Services',nan,nan,'Support Services--Pupils','Purchased Services','HOME TEAM MARKETING ',nan,nan,nan,999.82
785,nan,nan,'SUPPORT SERVICES-CENTRAL','General Fund',nan,'ADMIN. SERVICES','TRAVEL - EMPLOYEES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,47.31
786,nan,nan,'NON-PROJECT',nan,"'Teacher, Elementary '",nan,'CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-1337.55
787,nan,'Instruction And Curriculum',"'""Guidance, Counseling And Evaluation Services""'",'General Operating Fund',nan,'School ','Miscellaneous Contracted Services',nan,'High School Allotment',nan,'Miscellaneous Contracted Services',nan,nan,nan,'Advanced Placement',826.6
788,0,nan,nan,'General Purpose School',nan,'District Wide Resources','Personal Services - Teachers','TIME CARD CERTIFIEDAddl','Instruction - Regular',nan,nan,nan,nan,nan,'Alternative Schools Instruction',1327.79
789,nan,nan,'IMPROVEMENT OF INSTR SERV','General Fund',nan,'ADMIN. SERVICES','TRAVEL - EMPLOYEES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,185.61
790,nan,nan,'TITLE III  ELA',nan,'Project Coordinator ','ENGLISH FOR SPEAKERS OF OTHER','EMPLOYEE BENEFITS','PROFESSIONAL-OTHER','INSTRUCTIONAL STAFF TRAINING','FEDERAL GDPG FUND - FY ',nan,'INSTRUCTIONAL STAFF',nan,'n/a',nan,1572.54
791,nan,nan,'IMPROVEMENT OF INSTR SERV','RESERVED FOR NON DOE DIRECT FEDERAL FUNDS FOR K-12',nan,'ADMIN. SERVICES','TRAVEL - EMPLOYEES',nan,'RESERVED FOR NON DOE DIRECT FEDERAL FUNDS FOR K-12','SMALLER LEARNING COMMUNITIES',nan,nan,nan,nan,nan,354.65
792,nan,nan,'NON-PROJECT',nan,'Security Patrol ','SAFETY AND SECURITY','CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-88.35
793,nan,nan,'SPECIAL ED. - SEVERE NEEDS',nan,'Elementary Spec Ed Para ',nan,'EMPLOYEE BENEFITS','PARAPROFESSIONAL','SPECIAL EDUCATION','GENERAL FUND',nan,'SPECIAL EDUCATION','SEVERE DISABILITIES','Regular',nan,3608.75
794,0.004310345,nan,'NON-PROJECT',nan,"'Teacher, Short Term Sub '",nan,'SALARIES OF PART TIME EMPLOYEE','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','GENERAL FUND',nan,'INSTRUCTIONAL STAFF',nan,'Turnaround',nan,110.4879385
795,nan,nan,'TUITION BASED - ECE',nan,'Early Childhood Education ',nan,'EMPLOYEE BENEFITS','PARAPROFESSIONAL','EARLY CHILDHOOD','DISTRICT SPECIAL REVENUE FUNDS',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,3350.11
796,nan,nan,'State and Federal Projects Coordination Services*','School to Work',nan,nan,'Other Utilities Services *',nan,nan,'Support Services - Administration','Utilities Services','ITEMAI-CITY-YTH EMP & OPP ',nan,nan,nan,-403.9
797,nan,'Area Superintendents','Instructional Leadership','General Operating Fund',nan,'Unallocated','Travel And Subsistence - Employee Only',nan,'Undistributed',nan,'Travel And Subsistence - Employee Only',nan,nan,nan,'Undistributed',1139.16
798,nan,nan,nan,'INTRADISTRICT FUNDS',nan,'EARLY STAGES','CONTRACTUAL SERVICES - OTHER','CONTRACTUAL SERVICES - OTHER','SPECIAL EDUCATION LOCAL','EARLY CHILDHOOD DIAGNOSTIC CENTER',nan,nan,'EARLY STAGES',nan,nan,5438.4708
799,nan,nan,nan,nan,nan,'ADMIN. SERVICES',nan,nan,nan,nan,nan,nan,nan,nan,nan,1000.32
800,nan,'Instruction And Curriculum','Instruction',"'""Title  Part A Improving Basic Programs""'",nan,'School ','Teacher Retirement',nan,'Accelerated Education',nan,'Teacher Retirement',nan,'Payroll',nan,'Multilingual Dist Prof Development',12.38
801,nan,nan,'NON-PROJECT',nan,'(blank)',nan,'POSTAGE','UNDESIGNATED','SUPPORT SERVICES-SCHOOL ADMIN','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'New/Closed Schl',nan,82.71
802,1,nan,nan,'General Purpose School','TCHER 2ND GRADE',nan,'Personal Services - Teachers','TEACHER','Instruction - Regular',nan,nan,nan,nan,nan,'Regular Instruction',67827.94
803,nan,nan,'NON-PROJECT',nan,'Custodian-Part Time ',nan,'EMPLOYEE BENEFITS',"'CRAFTS, TRADES, AND SERVICES'",'CARE & UPKEEP OF BLDG SERVICES','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','CUSTODIAL-SCHOOLS','Regular',nan,25.03
804,0,nan,nan,'General Purpose School',nan,'Central Office','Personal Services - Other Compensation','Travel Allotment','District Administration',nan,nan,nan,nan,nan,'Board of Education',226.7605219
805,0.83,'All Campus Payroll','School Leadership','General Operating Fund',"'CLERICAL, SCHOOL ADMIN.'",'School ','Salaries Or Wages For Support Personnel','REGISTRAR','Undistributed','Operations','Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,'Undistributed',18050.81174
806,1,'Maintenance Department Administration','Facilities Maintenance And Operations','General Operating Fund','MAINTENANCE WORKERS','Undistributed','Salaries Or Wages For Support Personnel','TECHNICIAN    DAYS','Undistributed','Operations','Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,nan,44536.46024
807,nan,'Public Relations Department','Community Services','General Operating Fund',nan,'Undistributed','Miscellaneous Operating Costs',nan,'Undistributed',nan,'Miscellaneous Operating Costs',nan,nan,nan,nan,18942.23
808,nan,nan,'NON-PROJECT',nan,'Truck Driver ','WAREHOUSE OPERATIONS','EMPLOYEE BENEFITS',"'CRAFTS, TRADES, AND SERVICES'",'WAREHOUSE & DISTRIBUTION',' MILL LEVY',nan,'BUSINESS','WAREHOUSE','n/a',nan,3.34
809,nan,nan,'NON-PROJECT',nan,"'Secretary, Executive I '",'SCHOOL CHOICE','SALARIES OF REGULAR EMPLOYEES','OFFICE/ADMINISTRATIVE SUPPORT',"'PLANNING,RESEARCH,DEVELOPMENT'",'GENERAL FUND',nan,'CENTRAL',nan,'n/a',nan,981.78608
810,nan,nan,'UNALLOC BUDGETS/SCHOOLS',nan,"'Teacher, Short Term Sub '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','GENERAL HIGH SCHOOL EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER SUBS','Turnaround',nan,2.83
811,nan,nan,'EXCEPTIONAL                   ','FED THRU STATE-CASH ADVANCE   ',nan,'School ','SUPPLIES                      ',nan,nan,nan,nan,'IDEA  PART B                  ',nan,nan,nan,20174.33
812,1,nan,nan,'General Fund','Teacher-Elementary ',nan,nan,'3RD GRADE ','PRIMARY GRADES PROGRAM ',nan,nan,nan,nan,nan,nan,60630.88
813,nan,nan,'STAFF SERVICES                ','GENERAL FUND                  ','SECRETARY II                  ','COMPENSATION & EMPLOY RELATION','BONUSES                       ',nan,nan,nan,nan,'CLASSIFIED CLERICAL BONUS     ',nan,nan,nan,172.52
814,0,nan,'FOOD SERVICE                  ','FOOD SERVICES                 ','SUBSTITUTE FOOD SERVICE ASST  ','School ','OTHER PERSONAL SERVICES       ',nan,nan,nan,nan,nan,nan,nan,nan,37.51
815,nan,nan,'NON-PROJECT',nan,'Licensed Practical Nurse ','SCHOOL NURSE SERVICES','EMPLOYEE BENEFITS','PROFESSIONAL-OTHER','NURSING SERVICES','GENERAL FUND',nan,'STUDENTS','SCHOOL NURSE SERVICES','n/a',nan,3835.12
816,1,nan,nan,nan,'Director','OFFICE OF YOUTH ENGAGEMENT',nan,nan,nan,'LOCAL',nan,nan,'STUDENT ATTENDANCE',nan,nan,120356.907
817,nan,nan,'EXCEPTIONAL                   ','GENERAL FUND                  ',nan,'School ','UNEMPLOYMENT COMPENSATION     ',nan,nan,nan,nan,nan,nan,nan,nan,6621.03
818,nan,nan,'NON-PROJECT',nan,'Speech Language Pathologst ','SPECIAL EDUCATION','CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-1368.14
819,nan,nan,'NON-PROJECT',nan,"'Manager, Food Service II '",nan,'SALARIES OF REGULAR EMPLOYEES',"'CRAFTS, TRADES, AND SERVICES'",'FOOD PREPARATION/SERVING','FOOD SERVICE FUND',nan,'FOOD SERVICES OPERATIONS','FOOD SERVICES','Regular',nan,2684.55768
820,1,nan,nan,'General Fund','Teacher-Inter Relatated Resource',nan,nan,'INTERRELATED ','SPECIAL EDUCATION CATEGORY III',nan,nan,nan,nan,nan,nan,86952.7
821,nan,nan,'STAFF SERVICES                ','GENERAL FUND                  ',nan,'RISK MANAGEMENT               ','RENTALS                       ',nan,nan,nan,nan,'RISK MANAGEMENT               ',nan,nan,nan,566.91
822,nan,nan,'STATE - GIFTED AND TALENTED',nan,'Secretary II ','GIFTED AND TALENTED','EMPLOYEE BENEFITS','OFFICE/ADMINISTRATIVE SUPPORT','SUPPORT SERVICES-INSTRUCTIONAL','GENERAL FUND',nan,'INSTRUCTIONAL STAFF','GIFTED AND TALENTED','n/a',nan,42.81
823,nan,nan,'NON-PROJECT',nan,"'Manager, Facility I '",nan,'CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-44.5
824,nan,nan,'INSTRUCTION','General Fund',nan,nan,'RENTAL OF LAND OR BUILDINGS',nan,'PRIMARY GRADES PROGRAM ','PRIMARY GRADES PROGRAM ',nan,nan,nan,nan,nan,739.22
825,nan,nan,'IDEA ARRA',nan,'Psychologist ','SPECIAL EDUCATION','EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','PSYCHOLOGICAL SERVICES','ARRA - STIMULUS',nan,'STUDENTS',nan,'n/a',nan,668.95
826,0.004310345,nan,'IDEA ARRA',nan,"'Teacher, Short Term Sub '",'SPECIAL EDUCATION','SALARIES OF PART TIME EMPLOYEE','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','ARRA - STIMULUS',nan,'INSTRUCTIONAL STAFF',nan,'n/a',nan,109.7279385
827,nan,nan,'Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Other Professional and Technical Services',nan,nan,'Support Services - Instructional Staff','Professional And Technical Services *','ITEMS-VARIOUS GRANTS',nan,nan,nan,-3250.13
828,nan,nan,' SUCCESS',nan,"'Teacher, Elementary '",nan,'ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','SUCCESS - ELEMENTARY','DISTRICT SPECIAL REVENUE FUNDS',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,811.73624
829,1,nan,'Education Services*','Title I - Disadvantaged Children/Targeted Assistance','SOLUTION SPECIALIST','CHIEF ACADEMIC OFFICER','Regular *',nan,nan,'Support Services - Administration',nan,'ADMIN','ADM/PROF',nan,nan,67486.51408
830,nan,nan,'INST STAFF TRAINING SVCS      ','GENERAL FUND                  ',nan,'School ','SUPPLIES                      ',nan,nan,nan,nan,'SAFE SCHOOLS                  ',nan,nan,nan,2616.99
831,0,nan,nan,'General Purpose School','CUSTODIAN','District Wide Resources','Personal Services - Custodians','CUSTODIAN','Operations',nan,nan,nan,nan,nan,'Operation of Plant',3022.915154
832,nan,nan,'IMPROVEMENT OF INSTR SERV','General Fund',nan,'PROF. LEARNING','COMMUNICATION',nan,'STAFF DEVELOPMENT','STAFF DEVELOPMENT',nan,nan,nan,nan,nan,175.73
833,1,nan,nan,'General Purpose School','KINDERGARTEN INTERVENTION TA',nan,'Personal Services - Education Assistants','TEACHER','Instruction - Regular',nan,nan,nan,nan,nan,'Regular Instruction',18632.86481
834,0.004310345,nan,'NON-PROJECT',nan,"'Teacher,Retrd Shrt Term Sub '",nan,'SALARIES OF PART TIME EMPLOYEE','PROFESSIONAL-INSTRUCTIONAL','GENERAL ELEMENTARY EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER SUBS','Regular',nan,128.1049849
835,nan,nan,'NON-PROJECT',nan,"'Teacher, Elementary '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','GENERAL ELEMENTARY EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,873.78
836,nan,nan,'NON-PROJECT',nan,'Psychologist ',nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','PSYCHOLOGICAL SERVICES','GENERAL FUND',nan,'STUDENTS',nan,'Regular',nan,1054.50672
837,0,nan,nan,'School Federal Projects','SECRETARY ADMIN',nan,'Personal Services - Other Personnel','ADM SECRETARY','Instruction - Regular',nan,nan,'ADULT EDUCATION',nan,nan,'Adult Education',8729.876989
838,nan,nan,'HEAD START',nan,"'Teacher, Elementary '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','EARLY CHILDHOOD','FEDERAL GDPG FUND',nan,'REGULAR INSTRUCTION','EARLY EDUCATION','Regular',nan,222.39
839,nan,nan,'NON-PROJECT',nan,'Nurse ','SCHOOL NURSE SERVICES','SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','NURSING SERVICES','GENERAL FUND',nan,'STUDENTS','SCHOOL NURSE SERVICES','n/a',nan,1315.58
840,nan,nan,'NON-PROJECT',nan,'(blank)','SCHOOL ATTORNEY','COPYING','UNDESIGNATED','LEGAL SERVICES','GENERAL FUND',nan,'GENERAL ADMINISTRATION','LEGAL SERVICES','n/a',nan,3691.41
841,nan,nan,'PUPIL SERVICES','General Fund',nan,nan,'OTHER PURCHASED SERVICES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,326.95
842,nan,nan,'Facilities Maintenance And Operations','General Operating Fund',"'M.O.C.MAINT., TEMPORARY'",'Unallocated','Extra Duty Pay/Overtime For Support Personnel','MO CAMPBELL OPTIONAL PAY','Undistributed','Operations','Extra Duty Pay/Overtime For Support Personnel','GAME WORK',nan,nan,nan,53.6
843,0.01,'All Campus Payroll','Instructional Resources And Media Services','General Operating Fund','COMPUTER TECHNOLOGY SPECIALIST','School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR','Undistributed','Operations','Allotment Supplement (Career Ladder) Supplement','REGULAR PAY',nan,nan,'Undistributed',962.6513406
844,nan,nan,'TITLE I A - ARRA',nan,"'Teacher, Short Term Sub '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','ARRA - STIMULUS',nan,'INSTRUCTIONAL STAFF','TEACHER LEARNING & LEADERSHIP','Turnaround',nan,8.67
845,nan,nan,'Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Purchased Services',nan,nan,'Support Services - Instructional Staff','Purchased Services','CC/OH SKILL BANK',nan,nan,nan,40397.91
846,nan,nan,'NON-PROJECT',nan,'Extended Day Kinder Asst ','HUMAN RESOURCES','EMPLOYEE BENEFITS','PARAPROFESSIONAL','STAFF SERVICES','LEVY OVERRIDE',nan,'CENTRAL','PERSONNEL SERVICES','n/a',nan,56.5
847,nan,nan,'Summer Remediation *','Special Trust',nan,nan,'Regular *',nan,nan,'Other Instruction','Non-Certificated Salaries And Wages','CTAG',nan,nan,nan,-961085.83
848,nan,nan,'CORE MATTERS',nan,"'Teacher,Retrd Shrt Term Sub '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','GENERAL FUND',nan,'INSTRUCTIONAL STAFF',nan,'Regular',nan,2.01
849,nan,nan,"'PLANNING,RES,DEV,& EVAL       '",'GENERAL FUND                  ',nan,'GROWTH                        ','NON-CAPITALIZED COMPUTER HARDW',nan,nan,nan,nan,'GROWTH                        ',nan,nan,nan,570.21
850,nan,nan,'NON-PROJECT',nan,'Bus Driver  to  Yrs ','GARAGE','SALARIES OF PART TIME EMPLOYEE',"'CRAFTS, TRADES, AND SERVICES'",'TRANSPORTATION-OPERATIONS','GENERAL FUND',nan,'STUDENT TRANSPORTATION','TRANSPORTATION','n/a',nan,454.92056
851,nan,nan,'Disadvantaged Youth *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,nan,nan,nan,'Special Instruction','General Supplies *','TITLE  SCHOOLWIDE',nan,nan,nan,-5454.77
852,nan,nan,'STATE - GIFTED AND TALENTED',nan,'(blank)',nan,'GENERAL SUPPLIES','UNDESIGNATED','GIFTED AND TALENTED','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,1006.58
853,0,nan,nan,'School Federal Projects',nan,nan,'Personal Services - Substitute Teachers Certified','SUBSTITUTE TEACHER','Instruction - SPED',nan,nan,'INDIVIDUALS WITH DISABILITIES ACT PART B',nan,nan,'IDEA Part B',35.11
854,0,nan,nan,'General Purpose School','TCHER SPEC ED (CDC-MIDDLE)','District Wide Resources','Personal Services - Teachers','RETIREE TIMECARD','Instruction - Regular',nan,nan,nan,nan,nan,'Regular Instruction',842.7099
855,0.025,nan,nan,nan,'Aide (Afterschool)','OFC COM & ED PROG-AFTER SCHOOL AIDES',nan,nan,nan,"'SUMMER ED, ARTS & SPORTS - SEAS'",nan,nan,'AFTERSCHOOL PROGRAMS',nan,nan,923.0119472
856,nan,nan,'Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Printing and Binding',nan,nan,'Support Services - Instructional Staff','Contracted Craft Or Trade Services *',' HIST SOC-CONG ACAD',nan,nan,nan,-22.86
857,nan,nan,'NON-PROJECT',nan,"'Spec Ed Asst, Mild/Moderate '",nan,'CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-3.07
858,0.040440049,nan,'TITLE I',nan,'General Assignment ',nan,'SALARIES OF PART TIME EMPLOYEE','PARAPROFESSIONAL','GENERAL ELEMENTARY EDUCATION','FEDERAL GDPG FUND - FY ',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,755.0456467
859,nan,'Transportation Department','Transportation','General Operating Fund',"'TRANSPORTATION,BUS DRIVERS,REG'",'Unallocated','Extra Duty Pay/Overtime For Support Personnel','BUS DRIVER','Undistributed','Operations','Extra Duty Pay/Overtime For Support Personnel','FIELD TRIPS',nan,nan,'transportation - Second Runs',129.34
860,nan,nan,'EXTENDED LEARNING',nan,"'Teacher, Summer School '",'ALL SCHOOLS-UNDISTRIBUTED','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','LEVY OVERRIDE',nan,'INSTRUCTIONAL STAFF',nan,'n/a',nan,1198.55616
861,nan,nan,'EMPLOYEE RETIREMENT',nan,'ELA General Assignment ',nan,'RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,278.67
862,nan,nan,'TITLE I - CENTRAL PROGRAMS',nan,'Social Worker ',nan,'EMPLOYER PD MED CONTRIBUTION','PROFESSIONAL-INSTRUCTIONAL','SOCIAL WORK SERVICES','FEDERAL GDPG FUND - FY ',nan,'STUDENTS','GRANTS MANAGEMENT','Regular',nan,83.9
863,nan,nan,'NON-PROJECT',nan,'Custodial Helper - Day ',nan,'EMPLOYER PD MED CONTRIBUTION',"'CRAFTS, TRADES, AND SERVICES'",'CARE & UPKEEP OF BLDG SERVICES','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT',nan,'Regular',nan,461.78
864,nan,nan,'Disadvantaged Youth *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Other Awards and Prizes',nan,nan,'Special Instruction','Awards And Prizes *','TITLE  SCHOOLWIDE',nan,nan,nan,-42
865,nan,nan,"'PLANNING,RES,DEV,& EVAL       '",'GENERAL FUND                  ',nan,'GROWTH                        ','OTHER PURCHASED SERVICES      ',nan,nan,nan,nan,'GROWTH                        ',nan,nan,nan,658.51
866,nan,nan,'UNALLOC BUDGETS/SCHOOLS',nan,"'Teacher,Retrd Shrt Term Sub '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','GENERAL HIGH SCHOOL EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER SUBS','Regular',nan,27.04
867,nan,nan,'MAINTENANCE AND OPERATING','General Fund',nan,nan,'ENERGY',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,252884.29
868,nan,'Campus Overtime','Instruction','General Operating Fund',nan,'Undistributed','Group Health And Life Insurance','TEACHER MASTER','Basic Educational Services','Operations','Group Health And Life Insurance','EMPLOYER MEDICAL FRINGE',nan,nan,'Basic Educational Services - District Objective ',330.59
869,nan,nan,'NON-PROJECT',nan,'Secretary I ',nan,'EMPLOYEE BENEFITS','OFFICE/ADMINISTRATIVE SUPPORT','SUPPORT SERVICES-SCHOOL ADMIN','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'Regular',nan,659.82
870,nan,nan,'INSTRUCTION','General Fund',nan,nan,'SUPPLIES',nan,'SPECIAL EDUCATION CATEGORY III','CATEGORY III EXP ONLY SPECIAL ED',nan,nan,nan,nan,nan,150.25
871,nan,nan,'STATE - GIFTED AND TALENTED',nan,'(blank)','GIFTED AND TALENTED','BOOKS AND PERIODICALS','UNDESIGNATED','INSTRUCTIONAL STAFF TRAINING','STATE AND LOCAL GDPG FUND',nan,'INSTRUCTIONAL STAFF','GIFTED AND TALENTED','n/a',nan,12437.75
872,nan,'Instruction And Curriculum','Instruction',"'""Title  Part A Improving Basic Programs""'","'TEACHER, REGULAR'",'Summer School','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR',"'""Title I, Part A Schoolwide Activities Related To State Comp'","'""Title  Part A Improving Basic Programs""'",'Extended Year','EXTENDED YEAR',nan,nan,nan,1734.2612
873,nan,nan,"'PLANNING,RES,DEV,& EVAL       '",'GENERAL FUND                  ',nan,'GROWTH                        ','DUES AND FEES                 ',nan,nan,nan,nan,'GROWTH                        ',nan,nan,nan,1763.86
874,0,'TECHNOLOGY',nan,'General Purpose School',nan,'District Wide Resources','Personal Services - Information Technology','TIME CARD CERTIFIEDAddl','Operations',nan,nan,nan,nan,nan,'Technology',16729.38264
875,0.043026678,nan,'ALL DAY KINDERGARTEN',nan,"'Teacher, Elementary '",nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','GENERAL ELEMENTARY EDUCATION',' MILL LEVY',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,3006.378196
876,0.67,'Instruction And Curriculum','Community Services',"'""Title  Part A Improving Basic Programs""'","'SUPPORT, PARENT FACILITATOR'",'School ','Salaries Or Wages For Support Personnel','COMPUTER CLERK',"'""Title I, Part A Schoolwide Activities Related To State Comp'","'""Title  Part A Improving Basic Programs""'",'Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,'Parent Involvement',14154.67997
